Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 276: (BOAT) left=[1, 51], right=[94, 22]
Step 277:        left=[1, 50], right=[94, 23]  (BOAT)
Step 278: (BOAT) left=[2, 50], right=[93, 23]
Step 279:        left=[0, 50], right=[95, 23]  (BOAT)
Step 280: (BOAT) left=[1, 50], right=[94, 23]
Step 281:        left=[1, 49], right=[94, 24]  (BOAT)
Step 282: (BOAT) left=[2, 49], right=[93, 24]
Step 283:        left=[0, 49], right=[95, 24]  (BOAT)
Step 284: (BOAT) left=[1, 49], right=[94, 24]
Step 285:        left=[1, 48], right=[94, 25]  (BOAT)
Step 286: (BOAT) left=[2, 48], right=[93, 25]
Step 287:        left=[0, 48], right=[95, 25]  (BOAT)
Step 288: (BOAT) left=[1, 48], right=[94, 25]
Step 289:        left=[1, 47], right=[94, 26]  (BOAT)
Step 290: (BOAT) left=[2, 47], right=[93, 26]
Step 291:        left=[0, 47], right=[95, 26]  (BOAT)
Step 292: (BOAT) left=[1, 47], right=[94, 26]
Step 293:        left=[1, 46], right=[94, 27]  (BOAT)
Step 294: (BOAT) left=[2, 46], right=[93, 27]
Step 295:        left=[0, 46], right=[95, 27]  (BOAT)
Step 296: (BOAT) left=[1, 46], right=[94, 27]
Step 297:        left=[1, 45], right=[94, 28]  (BOAT)
Step 298: (BOAT) left=[2, 45], right=[93, 28]
Step 299:        left=[0, 45], right=[95, 28]  (BOAT)
Step 300: (BOAT) left=[1, 45], right=[94, 28]
Step 301:        left=[1, 44], right=[94, 29]  (BOAT)
Step 302: (BOAT) left=[2, 44], right=[93, 29]
Step 303:        left=[0, 44], right=[95, 29]  (BOAT)
Step 304: (BOAT) left=[1, 44], right=[94, 29]
Step 305:        left=[1, 43], right=[94, 30]  (BOAT)
Step 306: (BOAT) left=[2, 43], right=[93, 30]
Step 307:        left=[0, 43], right=[95, 30]  (BOAT)
Step 308: (BOAT) left=[1, 43], right=[94, 30]
Step 309:        left=[1, 42], right=[94, 31]  (BOAT)
Step 310: (BOAT) left=[2, 42], right=[93, 31]
Step 311:        left=[0, 42], right=[95, 31]  (BOAT)
Step 312: (BOAT) left=[1, 42], right=[94, 31]
Step 313:        left=[1, 41], right=[94, 32]  (BOAT)
Step 314: (BOAT) left=[2, 41], right=[93, 32]
Step 315:        left=[0, 41], right=[95, 32]  (BOAT)
Step 316: (BOAT) left=[1, 41], right=[94, 32]
Step 317:        left=[1, 40], right=[94, 33]  (BOAT)
Step 318: (BOAT) left=[2, 40], right=[93, 33]
Step 319:        left=[0, 40], right=[95, 33]  (BOAT)
Step 320: (BOAT) left=[1, 40], right=[94, 33]
Step 321:        left=[1, 39], right=[94, 34]  (BOAT)
Step 322: (BOAT) left=[2, 39], right=[93, 34]
Step 323:        left=[0, 39], right=[95, 34]  (BOAT)
Step 324: (BOAT) left=[1, 39], right=[94, 34]
Step 325:        left=[1, 38], right=[94, 35]  (BOAT)
Step 326: (BOAT) left=[2, 38], right=[93, 35]
Step 327:        left=[0, 38], right=[95, 35]  (BOAT)
Step 328: (BOAT) left=[1, 38], right=[94, 35]
Step 329:        left=[1, 37], right=[94, 36]  (BOAT)
Step 330: (BOAT) left=[2, 37], right=[93, 36]
Step 331:        left=[0, 37], right=[95, 36]  (BOAT)
Step 332: (BOAT) left=[1, 37], right=[94, 36]
Step 333:        left=[1, 36], right=[94, 37]  (BOAT)
Step 334: (BOAT) left=[2, 36], right=[93, 37]
Step 335:        left=[0, 36], right=[95, 37]  (BOAT)
Step 336: (BOAT) left=[1, 36], right=[94, 37]
Step 337:        left=[1, 35], right=[94, 38]  (BOAT)
Step 338: (BOAT) left=[2, 35], right=[93, 38]
Step 339:        left=[0, 35], right=[95, 38]  (BOAT)
Step 340: (BOAT) left=[1, 35], right=[94, 38]
Step 341:        left=[1, 34], right=[94, 39]  (BOAT)
Step 342: (BOAT) left=[2, 34], right=[93, 39]
Step 343:        left=[0, 34], right=[95, 39]  (BOAT)
Step 344: (BOAT) left=[1, 34], right=[94, 39]
Step 345:        left=[1, 33], right=[94, 40]  (BOAT)
